gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,truncated_by_depth,betweenness,betweenness_percentile,n_peers,external_communities,largest_in_share,largest_out_share,temporal_out_share,turnover_kzt,operation_count
100000000011452100,consolidator,0.769066,0,0.568382,Гипотеза сбора: отправителей=3; вход=110000.00 KZT; выход/вход=0.15; крупнейший вход=68%,1,False,3,1,110000.0,16685.0,7,2,0.0004768640252326482,0.1516818181818182,False,3.478406055209261e-06,0.06899810964083176,3,1,0.6818181818181818,1.0,1.0,126685.0,9
100000000018102100,peripheral,0.2,0,0.194157,"Вход=1, 7000.00 KZT; выход=0; глубина=4: обход обрезан, конечная роль неизвестна",4,False,1,0,7000.0,0.0,1,0,0.0003204029472448961,0.0,True,0.0,0.0,1,0,1.0,0.0,0.0,7000.0,1
100000000031787100,transit,0.85,1,0.544213,"Гипотеза транзита: вход=90000.00, выход=90000.00 KZT; после входа за 1–7 дней=67% выхода; те же деньги не установлены",2,False,1,2,90000.0,90000.0,2,4,0.0004315356304853241,1.0,False,0.0,0.0,2,0,1.0,0.6666666666666666,0.6666666666666666,180000.0,6
100000000041368100,terminal,0.59,2,0.378589,"Наблюдаемый получатель: входов=1, вход=160000.00 KZT; выход=0; глубина=1; вне выборки операции неизвестны",1,False,1,0,160000.0,0.0,1,0,0.0003176071236192344,0.0,False,0.0,0.0,1,0,1.0,0.0,0.0,160000.0,1
100000000076451100,transit,0.781702,3,0.797841,"Гипотеза транзита: вход=87707.00, выход=58000.00 KZT; после входа за 1–7 дней=78% выхода; те же деньги не установлены",2,False,3,4,87707.0,58000.0,4,4,0.0013962008641423944,0.661292713238396,False,9.565616651825468e-05,0.7429111531190926,5,0,0.48692806731503757,0.5172413793103449,0.7758620689655172,145707.0,8
100000000089154100,distributor,0.870106,0,0.688053,"Гипотеза распределения: входов=1, получателей=15; выход=425500.00 KZT; крупнейший выход=20%; источник средств неизвестен",1,False,1,15,10000.0,425500.0,1,21,0.0002874458184490932,42.55,False,9.535715244562024e-05,0.7334593572778828,15,5,1.0,0.19929494712103407,0.2009400705052879,435500.0,22
100000000190228100,peripheral,0.55,4,0.506186,"Мало связей: входов=1, выходов=1; оборот=33560.00 KZT; временная поддержка=0%; правила иных ролей не выполнены",2,False,1,1,5000.0,28560.0,1,1,0.0005820068181865648,5.712,False,1.9131233303650935e-05,0.2580340264650284,2,0,1.0,1.0,0.0,33560.0,2
100000000201868100,transit,0.9,5,0.543416,"Гипотеза транзита: вход=190000.00, выход=190000.00 KZT; после входа за 1–7 дней=100% выхода; те же деньги не установлены",2,False,1,1,190000.0,190000.0,1,1,0.0009746432509228606,1.0,False,0.0,0.0,1,0,1.0,1.0,1.0,380000.0,2
100000000254336100,peripheral,0.3,0,0.540399,"Роль неоднозначна: входов=2, выходов=1; оборот=157177.00 KZT; временная поддержка=100%; правила иных ролей не выполнены",3,False,2,1,97177.0,60000.0,2,1,0.0002919351427687482,0.6174300503205491,False,1.9206257747978978e-05,0.40264650283553877,3,0,0.7160953723617729,1.0,1.0,157177.0,3
100000000267734100,distributor,0.792128,1,0.684382,"Гипотеза распределения: входов=2, получателей=7; выход=282000.00 KZT; крупнейший выход=32%; источник средств неизвестен",1,False,2,7,180000.0,282000.0,4,8,0.0005373190777888428,1.5666666666666667,False,1.3913624220837043e-05,0.11814744801512288,8,0,0.6666666666666666,0.3191489361702128,0.4148936170212766,462000.0,12
