rank,gid,role,priority_score,why
1,100000003016635100,coordinator,0.990778,Приоритет=0.990778; оборот=10001062.00 KZT; посредничество=0.00632; PageRank=0.00119; контрагентов=75; операций=187
2,100000008603629100,coordinator,0.990734,Приоритет=0.990734; оборот=6803456.00 KZT; посредничество=0.00700; PageRank=0.00119; контрагентов=73; операций=119
3,100000003684369100,coordinator,0.984527,Приоритет=0.984527; оборот=12437091.00 KZT; посредничество=0.00179; PageRank=0.00202; контрагентов=85; операций=125
4,100000000331309100,coordinator,0.98422,Приоритет=0.984220; оборот=23986010.00 KZT; посредничество=0.00373; PageRank=0.00088; контрагентов=104; операций=134
5,100000006866783100,coordinator,0.983531,Приоритет=0.983531; оборот=4786849.00 KZT; посредничество=0.00609; PageRank=0.00087; контрагентов=72; операций=121
6,100000005933757100,coordinator,0.976866,Приоритет=0.976866; оборот=4248628.00 KZT; посредничество=0.00253; PageRank=0.00100; контрагентов=36; операций=52
7,100000008477350100,coordinator,0.975966,Приоритет=0.975966; оборот=3984966.00 KZT; посредничество=0.00234; PageRank=0.00103; контрагентов=49; операций=58
8,100000000437046100,coordinator,0.972305,Приоритет=0.972305; оборот=8713424.00 KZT; посредничество=0.00195; PageRank=0.00079; контрагентов=48; операций=93
9,100000008748914100,coordinator,0.969333,Приоритет=0.969333; оборот=4651847.00 KZT; посредничество=0.00281; PageRank=0.00079; контрагентов=14; операций=30
10,100000000343175100,coordinator,0.961049,Приоритет=0.961049; оборот=4178751.00 KZT; посредничество=0.00098; PageRank=0.00071; контрагентов=39; операций=47
11,100000005704413100,coordinator,0.957217,Приоритет=0.957217; оборот=1461427.67 KZT; посредничество=0.00595; PageRank=0.00060; контрагентов=34; операций=39
12,100000001857829100,coordinator,0.956848,Приоритет=0.956848; оборот=3279528.00 KZT; посредничество=0.00192; PageRank=0.00062; контрагентов=20; операций=25
13,100000002957787100,coordinator,0.955078,Приоритет=0.955078; оборот=1361109.96 KZT; посредничество=0.00357; PageRank=0.00061; контрагентов=37; операций=48
14,100000004156082100,distributor,0.954125,Приоритет=0.954125; оборот=2696922.11 KZT; посредничество=0.00051; PageRank=0.00087; контрагентов=30; операций=36
15,100000008346837100,coordinator,0.951458,Приоритет=0.951458; оборот=1513002.00 KZT; посредничество=0.00847; PageRank=0.00055; контрагентов=32; операций=38
16,100000008489922100,coordinator,0.949294,Приоритет=0.949294; оборот=4051910.00 KZT; посредничество=0.00061; PageRank=0.00059; контрагентов=38; операций=46
17,100000008165763100,transit,0.947337,Приоритет=0.947337; оборот=2433673.00 KZT; посредничество=0.00027; PageRank=0.00091; контрагентов=32; операций=43
18,100000003796063100,distributor,0.947178,Приоритет=0.947178; оборот=994150.00 KZT; посредничество=0.00308; PageRank=0.00069; контрагентов=15; операций=24
19,100000002578405100,distributor,0.944532,Приоритет=0.944532; оборот=4308703.00 KZT; посредничество=0.00047; PageRank=0.00057; контрагентов=116; операций=127
20,100000002527114100,distributor,0.939906,Приоритет=0.939906; оборот=3418249.00 KZT; посредничество=0.00019; PageRank=0.00081; контрагентов=111; операций=117
